millesime;manifestation;num_site;name;description;animations;condition_acces;unesco;musee_national;parcours;adresse;logo;tarifs;accessibilite;www;info_mail;info_tel;resa_mail;resa_tel;visite;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_millesime;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"2017";"Fête de la musique 2017";"21";"Knuks et LeftyOne";"Rap actuel - jazz";"";"22h/00h";"";"";"Hip-Hop";"Place de l'Horloge";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844964.6033454556";"6318376.364068935";"4.805955686155993";"43.9494698961602";"43.9494698961602";"4.805955686155993"
"2017";"Fête de la musique 2017";"28";"Inoove production -artistes et Dj's locaux";"Musiques actuelles: -deep -house -electro -downtempo - electronica";"";"16h/1h30";"";"";"Electro";"allée Antoine Pinay";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844982.9220875149";"6319047.574895907";"4.806375075967604";"43.95550521490837";"43.95550521490837";"4.806375075967604"
"2017";"Fête de la musique 2017";"31";"Association ""Les Eclipses Electroniques"": -A_Idric; TibO; Will Row.";"Deep house, électro, techouse, deep techno, Minimal, techno";"";"16h/01h30";"";"";"Electro";"Parking ile Piot";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844056.8035471218";"6318725.947806752";"4.794749276732928";"43.95280146900712";"43.95280146900712";"4.794749276732928"
"2017";"Fête de la musique 2017";"20";"Harlem Funk Trotters";"Soul funk, hip-hop old school, ska rock steady, garage 60's, frenche jerk, electro, big beat";"";"21h/1h30";"";"";"Electro";"Rocher des Doms";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845097.0602594118";"6318788.37510127";"4.8077227328261545";"43.953149607568385";"43.953149607568385";"4.8077227328261545"
"2017";"Fête de la musique 2017";"1";"Ensemble vocal Olivier Messiaen";"Chants du classique au contemporain";"";"18h30/19h";"";"";"Musique classique";"32 Rue Joseph Vernet";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844760.7481440059";"6318301.212406105";"4.803395581909458";"43.94883566107162";"43.94883566107162";"4.803395581909458"
"2017";"Fête de la musique 2017";"1";"Les Maîtres Chanteurs";"Classique, jazz, variété";"";"19h/20h";"";"";"Musique classique";"32 Rue Joseph Vernet";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844760.7481440059";"6318301.212406105";"4.803395581909458";"43.94883566107162";"43.94883566107162";"4.803395581909458"
"2017";"Fête de la musique 2017";"1";"Chorale Méli-Mélodie";"Chant du monde";"";"20h/20h45";"";"";"Musique du monde";"32 Rue Joseph Vernet";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844760.7481440059";"6318301.212406105";"4.803395581909458";"43.94883566107162";"43.94883566107162";"4.803395581909458"
"2017";"Fête de la musique 2017";"2";"Les élèves du Conservatoire du Grand Avignon";"Concert d'instruments à cuivres";"";"13h30/14h30";"";"";"Musique classique";"2 Rue du Général Leclerc";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845330.9274450812";"6318318.717296846";"4.81050125727489";"43.94887574250798";"43.94887574250798";"4.81050125727489"
"2017";"Fête de la musique 2017";"3";"Les Amis des Orgues de la Basilique Saint-Pierre et l’Association des Habitants du Quartier Banasterie présentent :FRESNO CHOIRS (Californie-USA) sous la direction d’Anna Hamre ;Organiste : Jean-Christophe Aurnague (Monaco)";"Musique sacrée pourchoeur, piano et orgue:Pièces choisies : Grégorien,Spirituals, Arménie, Russie,et Romantiques allemands.";"";"19h30/20h45";"";"";"Musique classique";"Place Saint Pierre";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845116.8081326878";"6318358.452880439";"4.807846069377055";"43.949277401847034";"43.949277401847034";"4.807846069377055"
"2017";"Fête de la musique 2017";"4";"Les Organistes de Musique Sacrée, Orgue en Avignon et Chœur A Piacere";"Orgue, musique romantique:Mendelssohn – Guilmant";"";"14h/15h";"";"";"Musique classique";"Place Saint Pierre";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845116.8081326878";"6318358.452880439";"4.807846069377055";"43.949277401847034";"43.949277401847034";"4.807846069377055"
"2017";"Fête de la musique 2017";"5";"Les Organistes de Musique Sacrée, Orgue en Avignon et Chœur A Piacere";"Orgue:  Musique romantique";"";"15h30/16h30";"";"";"Musique classique";"Place Saint Didier";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845073.0385298119";"6318067.910834153";"4.807218157853908";"43.946672330238215";"43.946672330238215";"4.807218157853908"
"2017";"Fête de la musique 2017";"6";"Les Organistes de Musique Sacrée, Orgue en Avignon et Chœur A Piacere";"Orgue, musique à un ou deux orgues: Viadana – Frescobaldi – Buxtehude – Pachelbel – Marcello – Galuppi – Zipoli – Luchinetti – Blanco";"";"17h/18h";"";"";"Musique classique";"Rocher des Doms";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845065.4162831979";"6318611.002287229";"4.807278057770554";"43.95156024910139";"43.95156024910139";"4.807278057770554"
